Platform,business_id,city,state,postal_code,score,review_count,Gender,CEO_sch_cat,CEO_grd_yr,field_cat,ZIP Code,Business_ID_other,Rural_metropolitan_Desc,Tot_Clms_Services,Brnd_Tot_Clms_Services,Gnrc_Tot_Clms_Services,Othr_Tot_Clms_Services,LIS_Tot_Clms_Services,Opioid_Tot_Clms_Services,Antbtc_Tot_Clms_Services
Platform 1,1770720401,Santa Barbara,CA,93101,5,7,F,108,1997,13,931032109,,,,,,,,,
Platform 1,1699268318,Clearwater,FL,33755,5,10,F,108,2017,21,337631726,1699268318,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",971,138,813,20,762,,31
Platform 1,1336331669,Bala Cynwyd,PA,19004,4,13,M,108,1986,12,190043207,,,,,,,,,
Platform 1,1528008463,Plymouth Meeting,PA,19462,2.5,8,M,138,1980,75,194621718,1528008463,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1988,,1674,,65,,274
Platform 1,1366867269,Voorhees,NJ,08043,3.5,17,F,116,2014,69,80434509,1366867269,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",847,73,774,0,75,50,
Platform 1,1689735383,Tarpon Springs,FL,34689,2,29,M,170,1988,55,346893790,,,,,,,,,
Platform 1,1356471593,Tampa,FL,33607,3,36,M,116,1992,21,805162422,1356471593,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",869,103,766,0,106,33,25
Platform 1,1023598968,Brownsburg,IN,46112,1.5,14,M,108,2018,58,461121031,,,,,,,,,
Platform 1,1316037153,Tucson,AZ,85718,2.5,43,M,3,1992,33,104672401,,,,,,,,,
Platform 1,1902048259,Saint Petersburg,FL,33713,1.5,6,M,201,2009,3,337051300,1902048259,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,11,13,0,0,0,0
Platform 1,1821040866,Indianapolis,IN,46203,2.5,10,M,210,1998,18,462378606,,,,,,,,,
Platform 1,1578029260,Reno,NV,89512,4.5,19,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1770652448,Reno,NV,89509,4,10,F,108,2012,21,895113038,1770652448,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",60,,55,,,,33
Platform 1,1124065081,Langhorne,PA,19047,3,7,F,51,1985,3,190531556,,,,,,,,,
Platform 1,1700221603,Voorhees,NJ,08043,4.5,6,M,108,2013,33,80439612,1700221603,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",246,22,224,0,95,0,
Platform 1,1124201801,Reno,NV,89521,4,7,M,108,2007,63,895021463,1124201801,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",358,33,325,0,345,0,0
Platform 1,1821040866,Philadelphia,PA,19128,3,11,M,210,1998,18,191115729,,,,,,,,,
Platform 1,1265069702,Tucson,AZ,85715,2,15,M,1,2020,19,757012036,1265069702,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",66,,63,,20,,21
Platform 1,1497909147,Philadelphia,PA,19102,3.5,120,F,213,1988,63,191074315,,,,,,,,,
Platform 1,1477798676,Tampa,FL,33609,4,55,M,204,2007,64,752082312,,,,,,,,,
Platform 1,1821040866,Philadelphia,PA,19115,2,13,M,210,1998,18,191115729,,,,,,,,,
Platform 1,1457693798,Tampa,FL,33611,3.5,9,M,110,1983,11,956039021,,,,,,,,,
Platform 1,1497909147,Philadelphia,PA,19147,3,46,F,213,1988,63,191074315,,,,,,,,,
Platform 1,1235482365,Alton,IL,62002,4,5,F,108,1994,13,615202680,,,,,,,,,
Platform 1,1023007242,Spring Hill,FL,34607,4,7,M,83,1984,17,346135409,1023007242,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",873,,806,,116,29,86
Platform 1,1720070261,Largo,FL,33771,2.5,39,M,43,1980,7,207744884,1720070261,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3356,977,2366,13,998,45,21
Platform 1,1821040866,Indianapolis,IN,46260,3,6,M,210,1998,18,462378606,,,,,,,,,
Platform 1,1437123254,Saint Louis,MO,63128,2.5,8,M,126,2004,5,631171811,1437123254,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2723,,1785,,646,,23
Platform 1,1558331587,Wesley Chapel,FL,33543,3,9,F,51,2000,46,335435453,1558331587,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",392,46,346,0,49,,36
Platform 1,1891134227,Brandon,FL,33511,4,6,F,10,2013,46,335115921,1891134227,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17,,14,,,,
Platform 1,1578029260,Reno,NV,89523,2.5,26,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1891134227,Brandon,FL,33511,2,11,F,10,2013,46,335115921,1891134227,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",17,,14,,,,
Platform 1,1255952818,Philadelphia,PA,19140,2,67,F,138,2020,21,191141025,1255952818,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",29,,21,,,0,
Platform 1,1598833543,Tampa,FL,33626,3,11,M,108,2000,60,336134679,1598833543,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",87,,85,,,14,22
Platform 1,1720461171,Metairie,LA,70005,3.5,14,F,108,2015,59,700026322,1720461171,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",443,51,392,0,109,,134
Platform 1,1043338593,Reno,NV,89502,5,12,M,108,1971,12,895021117,,,,,,,,,
Platform 1,1578029260,Reno,NV,89506,4,16,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1407262132,Woodbury,NJ,08096,5,7,F,108,2007,66,80961795,,,,,,,,,
Platform 1,1225092315,Elkins Park,PA,19027,2.5,6,M,51,1982,48,190271541,1225092315,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2508,1460,1048,0,1143,,20
Platform 1,1134119902,New Hope,PA,18938,5,5,M,138,1998,18,189385657,,,,,,,,,
Platform 1,1043229289,Conshohocken,PA,19428,3.5,10,M,52,1979,33,194281227,1043229289,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5213,,4592,,80,115,160
Platform 1,1164565289,St. Petersburg,FL,33716,4,11,F,172,2005,49,337143717,1164565289,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12,,,0,,0,0
Platform 1,1962954867,Jenkintown,PA,19046,3,7,F,108,2016,45,190463707,1962954867,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",42,,38,,42,0,
Platform 1,1992846877,Nashville,TN,37221,2,7,M,108,2006,10,372320028,,,,,,,,,
Platform 1,1326118449,Oldsmar,FL,34677,3.5,17,M,61,2003,11,346773205,,,,,,,,,
Platform 1,1821040866,Indianapolis,IN,46220,4.5,78,M,210,1998,18,462378606,,,,,,,,,
Platform 1,1205560752,Edmonton,AB,T6M,2.5,7,F,108,2021,45,421298137,,,,,,,,,
Platform 1,1083709422,Indianapolis,IN,46250,2,22,F,26,1993,18,452293026,,,,,,,,,
Platform 1,1366848137,Tucson,AZ,85705,3.5,14,M,108,2014,59,857112602,,,,,,,,,
Platform 1,1598833543,Tampa,FL,33626,5,30,M,108,2000,60,336134679,1598833543,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",87,,85,,,14,22
Platform 1,1821040866,Philadelphia,PA,19147,2.5,35,M,210,1998,18,191115729,,,,,,,,,
Platform 1,1194746719,Sewell,NJ,08080,4,5,M,131,1999,41,80802351,1194746719,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",958,304,636,18,581,0,0
Platform 1,1902828213,Boise,ID,83712,3.5,13,F,187,1999,62,837061309,,,,,,,,,
Platform 1,1841234747,Boise,ID,83704,3.5,6,M,190,2000,7,837025511,1841234747,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2309,364,1945,0,306,0,
Platform 1,1700088598,Exton,PA,19341,3,8,F,90,2005,11,193412449,,,,,,,,,
Platform 1,1558528406,Tucson,AZ,85748,2,25,F,204,2008,17,54011473,1558528406,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",621,22,599,0,114,0,37
Platform 1,1689334393,St. Petersburg,FL,33702,5,9,F,108,2021,58,337033802,,,,,,,,,
Platform 1,1598833543,Tampa,FL,33611,4.5,12,M,108,2000,60,336134679,1598833543,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",87,,85,,,14,22
Platform 1,1366768517,Philadelphia,PA,19129,4.5,16,M,108,2009,11,194441802,,,,,,,,,
Platform 1,1851823660,Tampa,FL,33629,4,17,M,96,2017,67,616061907,1851823660,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",50,,49,,,,
Platform 1,1093259905,Doylestown,PA,18901,4.5,10,F,108,2016,58,189012391,,,,,,,,,
Platform 1,1225679145,Prospect Park,PA,19076,4.5,5,M,108,2016,13,190762322,,,,,,,,,
Platform 1,1497796957,Town and Country,MO,63017,4,16,M,52,1982,7,630175941,1497796957,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",21,0,21,0,,0,0
Platform 1,1184180267,St. Louis,MO,63141,2.5,7,F,108,2018,59,631418219,1184180267,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",78,34,44,0,,16,
Platform 1,1033658828,Havertown,PA,19083,2,5,F,108,2015,45,190835733,,,,,,,,,
Platform 1,1245652734,Turnersville,NJ,08012,1.5,10,F,108,2013,45,80122427,1245652734,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2087,,1748,,1861,120,86
Platform 1,1821040866,Indianapolis,IN,46227,3.5,5,M,210,1998,18,462378606,,,,,,,,,
Platform 1,1326577867,Cherry Hill,NJ,08034,4,10,F,99,2017,69,80032013,1326577867,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",78,16,62,0,,,
Platform 1,1316561871,Indianapolis,IN,46224,4,6,M,108,2020,61,462545794,,,,,,,,,
Platform 1,1548505142,Tucson,AZ,85715,4.5,7,M,155,2012,33,857136204,1548505142,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",736,93,643,0,189,0,
Platform 1,1356471593,Reno,NV,89521,3.5,5,M,116,1992,21,805162422,1356471593,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",869,103,766,0,106,33,25
Platform 1,1407916927,Metairie,LA,70002,2.5,8,M,145,1976,48,700023486,1407916927,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",944,328,616,0,67,0,
Platform 1,1558032102,Town 'n' Country,FL,33615,5,67,F,184,2021,49,630175941,,,,,,,,,
Platform 1,1841705027,Tucson,AZ,85719,4,26,F,108,2017,45,857113001,1841705027,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",125,,122,,50,0,59
Platform 1,1467596684,Tucson,AZ,85704,5,8,M,108,2000,10,857452623,,,,,,,,,
Platform 1,1649403924,Goodlettsville,TN,37072,2.5,6,F,108,1995,58,377605279,,,,,,,,,
Platform 1,1346752243,Glenside,PA,19038,5,8,F,108,2017,58,190385023,,,,,,,,,
Platform 1,1578029260,Reno,NV,89521,3.5,20,F,108,2016,66,895570001,,,,,,,,,
Platform 1,1285051441,Valrico,FL,33596,3.5,5,M,108,2010,18,335966403,,,,,,,,,
Platform 1,1730473232,Greenwood,IN,46142,1,5,M,180,2009,43,905055233,1730473232,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",45,,44,,,0,0
Platform 1,1528285087,Sherwood Park,AB,T8A 6A2,5,6,M,42,2004,19,902552926,1528285087,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",263,,249,,207,43,85
Platform 1,1376070110,Largo,FL,33777,2.5,5,F,108,2017,58,337771355,,,,,,,,,
Platform 1,1053308387,Philadelphia,PA,19103,4.5,19,M,108,2003,10,191076130,,,,,,,,,
Platform 1,1629245022,New Orleans,LA,70124,5,6,M,130,2006,21,701174736,1629245022,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6308,802,5391,115,4920,16,146
Platform 1,1336226166,Philadelphia,PA,19107,3.5,19,M,116,1986,23,191075409,1336226166,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5159,1619,3486,54,1157,146,66
Platform 1,1437639135,Flourtown,PA,19031,3,8,M,108,2018,58,190311917,,,,,,,,,
Platform 1,1073576286,Saint Louis,MO,63128,2.5,5,F,108,2013,13,631031613,,,,,,,,,
Platform 1,1396165874,Voorhees Township,NJ,08043,3,6,M,116,2014,7,80431559,1396165874,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",237,33,204,0,82,0,0
Platform 1,1679954382,Tucson,AZ,85747,4,6,F,138,2015,63,191251012,1679954382,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",31,,29,,31,,0
Platform 1,1083934871,Philadelphia,PA,19114,2.5,7,M,116,2010,19,19114,1083934871,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",181,,177,,105,,53
Platform 1,1013180090,Largo,FL,33770,2,19,M,108,2005,21,337741214,1013180090,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",177,16,161,0,96,17,61
Platform 1,1336762061,Lansdale,PA,19446,3,5,M,135,2020,21,194461259,1336762061,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",254,,211,,69,0,
Platform 1,1467837898,Reno,NV,89509,1.5,6,F,108,2015,45,427012748,1467837898,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",2473,,2142,,1188,,146
Platform 1,1619953791,Reno,NV,89509,4,6,M,163,1980,51,895096136,1619953791,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",68,,67,,,18,
Platform 1,1760716914,Philadelphia,PA,19148,3.5,7,F,108,2009,10,191112434,,,,,,,,,
Platform 1,1760574552,Newtown Square,PA,19073,2.5,17,M,108,1980,51,190732304,,,,,,,,,
Platform 1,1992953434,Moorestown,NJ,08057,5,9,M,108,2006,28,80573128,1992953434,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",371,,369,,68,142,20
Platform 1,1982072484,Boise,ID,83705,4,8,F,108,2015,45,837126241,1982072484,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",431,61,353,17,160,58,14
Platform 1,1366465486,Ewing,NJ,08628,4,5,M,108,1981,57,86282528,1366465486,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",266,,252,,34,138,
Platform 1,1144587841,St. Petersburg,FL,33711,4,21,M,66,2012,76,337092147,1144587841,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",62,,53,,19,,
Platform 1,1902395759,Philadelphia,PA,19107,3.5,9,F,108,2017,45,402021840,1902395759,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",19,,15,,,,
Platform 1,1992846877,Nashville,TN,37219,2.5,7,M,108,2006,10,372320028,,,,,,,,,
Platform 1,1629245022,New Orleans,LA,70119,4,14,M,130,2006,21,701174736,1629245022,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6308,802,5391,115,4920,16,146
Platform 1,1407343981,Nashville,TN,37216,2,14,M,108,2018,33,372031538,1407343981,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",183,,156,,80,,21
Platform 1,1104865484,Tampa,FL,33617,5,6,M,108,1992,11,336176214,,,,,,,,,
Platform 1,1316724883,Carmel,IN,46032,4,7,F,108,2023,47,46033,,,,,,,,,
